epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,785.602,0.52277,0.36307,0.9162,0.96499,0.96869,0.98406,0.89201,0.48667,0.30494,0.87154,0.0005941,0.0005941,0.0005941
43,803.931,0.51105,0.34731,0.91485,0.96537,0.96378,0.98211,0.89262,0.46542,0.3091,0.87188,0.0005842,0.0005842,0.0005842
44,822.692,0.51188,0.35475,0.91531,0.96824,0.96517,0.98443,0.89298,0.47314,0.30557,0.86217,0.0005743,0.0005743,0.0005743
45,841.136,0.50631,0.35254,0.91163,0.95861,0.96791,0.98059,0.89211,0.45249,0.29856,0.86517,0.0005644,0.0005644,0.0005644
46,859.375,0.50708,0.35373,0.91011,0.96907,0.95921,0.98337,0.89107,0.47112,0.30763,0.86248,0.0005545,0.0005545,0.0005545
47,877.928,0.51524,0.3547,0.91422,0.96836,0.96999,0.98363,0.89345,0.45366,0.29574,0.86422,0.0005446,0.0005446,0.0005446
48,896.218,0.49581,0.34737,0.91631,0.96372,0.96813,0.97973,0.89163,0.45033,0.29653,0.87009,0.0005347,0.0005347,0.0005347
49,914.442,0.49474,0.33705,0.91051,0.97243,0.96494,0.98132,0.8958,0.4535,0.29528,0.86532,0.0005248,0.0005248,0.0005248
50,933.117,0.49729,0.33922,0.91166,0.96454,0.96216,0.98086,0.89518,0.44732,0.29516,0.85928,0.0005149,0.0005149,0.0005149
51,951.497,0.50023,0.33778,0.91245,0.97058,0.9709,0.97901,0.89507,0.44994,0.29389,0.85469,0.000505,0.000505,0.000505
52,969.863,0.49813,0.33587,0.90602,0.96649,0.97143,0.98142,0.90065,0.43993,0.28434,0.84719,0.0004951,0.0004951,0.0004951
53,988.4,0.48947,0.34255,0.90705,0.95325,0.98477,0.982,0.89966,0.4362,0.28359,0.85484,0.0004852,0.0004852,0.0004852
54,1006.86,0.48511,0.33635,0.9058,0.96865,0.97007,0.9827,0.89795,0.47113,0.2887,0.87044,0.0004753,0.0004753,0.0004753
55,1025.09,0.48338,0.32928,0.90607,0.9703,0.96486,0.98412,0.90201,0.44003,0.28254,0.85937,0.0004654,0.0004654,0.0004654
56,1043.52,0.47699,0.33145,0.9061,0.96715,0.96406,0.98188,0.90053,0.43303,0.28598,0.86126,0.0004555,0.0004555,0.0004555
57,1061.96,0.48301,0.32758,0.9088,0.9727,0.96696,0.98047,0.89309,0.46289,0.29891,0.86863,0.0004456,0.0004456,0.0004456
58,1080.51,0.48371,0.33205,0.90662,0.96382,0.9698,0.98552,0.90363,0.45389,0.28132,0.85816,0.0004357,0.0004357,0.0004357
59,1099.21,0.47218,0.32571,0.90456,0.96678,0.96973,0.97883,0.8984,0.43904,0.28686,0.85693,0.0004258,0.0004258,0.0004258
60,1117.58,0.47385,0.33644,0.90726,0.9461,0.97447,0.98445,0.90907,0.43923,0.28366,0.85616,0.0004159,0.0004159,0.0004159
61,1136.49,0.47154,0.3229,0.89806,0.94867,0.97762,0.98527,0.90557,0.43251,0.26834,0.84932,0.000406,0.000406,0.000406
62,1154.72,0.4691,0.32627,0.90131,0.95665,0.96794,0.98376,0.90467,0.44444,0.28598,0.85601,0.0003961,0.0003961,0.0003961
63,1172.97,0.46418,0.31202,0.89956,0.96879,0.9612,0.98637,0.91243,0.43216,0.27537,0.85729,0.0003862,0.0003862,0.0003862
64,1191.81,0.46285,0.31676,0.90106,0.96358,0.955,0.98351,0.90446,0.42557,0.27242,0.85413,0.0003763,0.0003763,0.0003763
65,1209.93,0.45396,0.29911,0.89379,0.9657,0.9601,0.98051,0.90395,0.4243,0.27569,0.85314,0.0003664,0.0003664,0.0003664
66,1228.43,0.46093,0.31101,0.89591,0.95743,0.96519,0.98509,0.908,0.42111,0.27343,0.85326,0.0003565,0.0003565,0.0003565
67,1247.12,0.45999,0.3117,0.89911,0.96019,0.9706,0.98401,0.90817,0.41741,0.2782,0.85311,0.0003466,0.0003466,0.0003466
68,1265.82,0.44948,0.30181,0.89216,0.95851,0.95164,0.98259,0.90151,0.43153,0.2818,0.85729,0.0003367,0.0003367,0.0003367
69,1284.11,0.45588,0.31274,0.89908,0.96724,0.96146,0.98498,0.91069,0.42018,0.27318,0.85448,0.0003268,0.0003268,0.0003268
70,1305.09,0.45227,0.30806,0.89525,0.97109,0.95421,0.98601,0.90617,0.43306,0.27031,0.85865,0.0003169,0.0003169,0.0003169
71,1325.54,0.44965,0.30843,0.89768,0.95787,0.97084,0.98418,0.90649,0.42454,0.27467,0.85717,0.000307,0.000307,0.000307
72,1343.81,0.4453,0.3041,0.89452,0.97248,0.95973,0.98487,0.90843,0.41752,0.26073,0.85115,0.0002971,0.0002971,0.0002971
73,1362.44,0.44822,0.29544,0.89549,0.96717,0.96012,0.98349,0.90891,0.42569,0.27865,0.85673,0.0002872,0.0002872,0.0002872
74,1380.62,0.44084,0.29263,0.89515,0.94856,0.96686,0.98137,0.90759,0.41859,0.2755,0.85289,0.0002773,0.0002773,0.0002773
75,1399.1,0.43557,0.29153,0.88659,0.96869,0.96749,0.98704,0.91037,0.42519,0.25222,0.85706,0.0002674,0.0002674,0.0002674
76,1417.39,0.44271,0.29027,0.8907,0.96607,0.97342,0.98616,0.91381,0.4147,0.25371,0.85256,0.0002575,0.0002575,0.0002575
77,1436.31,0.43677,0.29639,0.89054,0.97452,0.96613,0.9859,0.90865,0.42616,0.26095,0.8507,0.0002476,0.0002476,0.0002476
78,1454.59,0.43942,0.28252,0.89038,0.97261,0.97516,0.98678,0.91582,0.40382,0.25475,0.84227,0.0002377,0.0002377,0.0002377
79,1473.38,0.43317,0.28553,0.8888,0.97687,0.96771,0.98468,0.91035,0.41229,0.25505,0.84203,0.0002278,0.0002278,0.0002278
80,1492,0.43326,0.28515,0.88672,0.97509,0.96753,0.98667,0.91012,0.41071,0.24574,0.84347,0.0002179,0.0002179,0.0002179
81,1510.47,0.42669,0.28004,0.88347,0.97595,0.95749,0.98449,0.91238,0.41548,0.2589,0.84848,0.000208,0.000208,0.000208
82,1528.79,0.43005,0.28237,0.88656,0.97091,0.96692,0.98593,0.9133,0.41774,0.25817,0.8529,0.0001981,0.0001981,0.0001981
83,1548.49,0.42216,0.27441,0.88472,0.97037,0.97248,0.98542,0.91349,0.40826,0.24683,0.85263,0.0001882,0.0001882,0.0001882
84,1566.87,0.43053,0.29007,0.88976,0.97207,0.96425,0.98532,0.91362,0.41222,0.24853,0.85206,0.0001783,0.0001783,0.0001783
85,1585.31,0.41896,0.27598,0.88795,0.97103,0.96722,0.98337,0.91613,0.4048,0.24939,0.84947,0.0001684,0.0001684,0.0001684
86,1604.39,0.42293,0.27261,0.88485,0.97281,0.9706,0.98761,0.91902,0.40152,0.24907,0.85032,0.0001585,0.0001585,0.0001585
87,1622.9,0.41888,0.27194,0.88969,0.96419,0.97285,0.9878,0.91762,0.40693,0.24856,0.85172,0.0001486,0.0001486,0.0001486
88,1641.17,0.41702,0.26294,0.88043,0.96588,0.96665,0.98562,0.91885,0.4075,0.24258,0.85116,0.0001387,0.0001387,0.0001387
89,1659.53,0.41284,0.2702,0.88937,0.97461,0.95859,0.98654,0.91854,0.40707,0.24325,0.85353,0.0001288,0.0001288,0.0001288
90,1677.84,0.41055,0.26985,0.88169,0.96746,0.96147,0.98631,0.91646,0.40104,0.24119,0.84951,0.0001189,0.0001189,0.0001189
91,1695.5,0.34114,0.2181,0.83809,0.97095,0.96577,0.9854,0.91606,0.41123,0.24167,0.85108,0.000109,0.000109,0.000109
92,1713.23,0.33523,0.22005,0.83553,0.97347,0.96434,0.98574,0.91851,0.40494,0.24136,0.85113,9.91e-05,9.91e-05,9.91e-05
93,1731,0.33378,0.21483,0.83317,0.96892,0.95949,0.98557,0.91998,0.39749,0.24223,0.85066,8.92e-05,8.92e-05,8.92e-05
94,1749.16,0.33196,0.21513,0.83382,0.96883,0.96604,0.98592,0.91759,0.39466,0.23944,0.84748,7.93e-05,7.93e-05,7.93e-05
95,1766.83,0.3325,0.21204,0.83445,0.97001,0.96624,0.98584,0.91928,0.3928,0.23903,0.84611,6.94e-05,6.94e-05,6.94e-05
96,1784.59,0.32685,0.20955,0.83552,0.96607,0.9676,0.9877,0.92107,0.39119,0.23468,0.84482,5.95e-05,5.95e-05,5.95e-05
97,1802.78,0.3276,0.20468,0.83111,0.96771,0.96521,0.98736,0.92366,0.39122,0.23605,0.84647,4.96e-05,4.96e-05,4.96e-05
98,1820.75,0.32261,0.20433,0.82588,0.95503,0.97418,0.98668,0.92332,0.3898,0.23387,0.84626,3.97e-05,3.97e-05,3.97e-05
99,1838.75,0.3168,0.20305,0.83153,0.95914,0.97354,0.98707,0.92423,0.3938,0.23657,0.84772,2.98e-05,2.98e-05,2.98e-05
100,1856.77,0.3212,0.20117,0.82539,0.95912,0.9726,0.9868,0.92278,0.39375,0.23778,0.84883,1.99e-05,1.99e-05,1.99e-05
