epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,457.428,0.77517,1.18297,1.03679,0.87055,0.9432,0.93769,0.79611,0.60008,0.90696,0.83787,0.000331579,0.000331579,0.000331579
2,898.52,0.73392,0.65456,0.99389,0.96142,0.9744,0.96967,0.83589,0.57021,0.55886,0.84636,0.00053326,0.00053326,0.00053326
3,1307.62,0.71242,0.60687,0.98334,0.95101,0.97652,0.9734,0.82793,0.58602,0.53417,0.85452,0.00060294,0.00060294,0.00060294
4,1712.34,0.6583,0.52424,0.95468,0.96351,0.96209,0.976,0.85781,0.51276,0.45355,0.81696,0.000406,0.000406,0.000406
5,2000.54,0.624,0.48487,0.94978,0.95828,0.96966,0.98585,0.87593,0.48892,0.39624,0.80926,0.000208,0.000208,0.000208
